%Afkomstig uit HR2006 = HR2001
%Door: Chris Geerse
%Datum: 21 april 2009
%
%PIEKAFVOER	TIJD	AFVOER
18737	6.625	12000
18737	7.391666667	11500
18737	8.05	11000
18737	8.645833333	10500
18737	9.383333333	10000
18737	10.2125	9500
18737	10.99583333	9000
18737	11.975	8500
18737	13.26666667	8000
18737	14.92916667	7500
18737	16.16666667	7250
18737	17.2375	7000
18737	18.37916667	6750
18737	19.4	6500
18737	20.43333333	6250
18737	21.90416667	6000
18737	22.57477857	5750
18737	23.26863562	5500
18737	23.96292193	5250
18737	24.62600135	5000
18737	25.26140005	4750
18737	25.89524389	4500
18737	26.54786355	4250
18737	27.2176258	4000
18737	27.88837062	3750
18737	28.55911866	3500
18737	29.24625343	3250
18737	29.96446205	3000
18737	30.74141854	2750
18737	31.58015427	2500
18737	32.4617851	2250
18737	33.36317744	2000
18737	34.25360939	1750
18737	35.11187853	1500
18737	35.93857991	1250
18737	36.66348548	1000
18737	37.11821908	750
18737	37.25470563	500
18737	37.2784768	250
18737	37.2844768	0
20000	-28.19520675	0
20000	-28.19120675	250
20000	-28.17535931	500
20000	-28.08436828	750
20000	-27.78121254	1000
20000	-27.29794216	1250
20000	-26.74680791	1500
20000	-26.17462848	1750
20000	-25.58100718	2000
20000	-24.98007896	2250
20000	-24.39232507	2500
20000	-23.83316792	2750
20000	-23.31519692	3000
20000	-22.83639118	3250
20000	-22.37830133	3500
20000	-21.93113597	3750
20000	-21.48397276	4000
20000	-21.03746459	4250
20000	-20.60238482	4500
20000	-20.17982226	4750
20000	-19.75622312	5000
20000	-19.31417018	5250
20000	-18.85131264	5500
20000	-18.38874127	5750
20000	-17.94166667	6000
20000	-17.30416667	6250
20000	-16.65833333	6500
20000	-16.28333333	6750
20000	-15.84166667	7000
20000	-15.05416667	7250
20000	-14.225	7500
20000	-12.9625	8000
20000	-11.84166667	8500
20000	-10.87916667	9000
20000	-10.33333333	9500
20000	-9.829166667	10000
20000	-9.2375	10500
20000	-8.579166667	11000
20000	-7.75	11500
20000	-7.095833333	12000
20000	-6.5625	12500
20000	-5.816666667	13000
20000	-5.3	13500
20000	-4.695833333	14000
20000	-4.1375	14500
20000	-3.616666667	15000
20000	-3.308333333	15500
20000	-2.9625	16000
20000	-2.629166667	16500
20000	-2.266666667	17000
20000	-1.970833333	17500
20000	-1.670833333	18000
20000	-1.3	18500
20000	-0.954166667	19000
20000	-0.55	19500
20000	0	20000
20000	0.85	19500
20000	1.245833333	19000
20000	1.579166667	18500
20000	1.875	18000
20000	2.145833333	17500
20000	2.479166667	17000
20000	2.970833333	16500
20000	3.404166667	16000
20000	3.775	15500
20000	4.2125	15000
20000	4.695833333	14500
20000	5.258333333	14000
20000	5.8875	13500
20000	6.420833333	13000
20000	7.1	12500
20000	7.783333333	12000
20000	8.308333333	11500
